2025-11-19 10:41:02 [ERROR]: GET /api/products: Validation failed {"code":400,"details":[{"type":"field","value":"all","msg":"Invalid Category ID format","path":"categoryId","location":"query"}]}
2025-11-22 20:41:31 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:33 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:34 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:35 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:35 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:35 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:40 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:41 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:41 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:41 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:42 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:42 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:42 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:48 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:41:48 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:42:01 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
2025-11-22 20:42:23 [ERROR]: POST /api/invoices: Validation failed {"code":400,"details":[{"type":"field","value":"","msg":"Invoice number is required","path":"invoiceNumber","location":"body"}]}
